scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,947.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,948.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,949.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,950.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,951.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,952.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,953.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,954.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,955.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,956.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,957.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,958.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,959.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,960.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,961.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,962.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,963.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,964.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,965.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,966.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,967.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,968.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,969.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
