scenario,n_port,lam_nm,mm_mode_count,eta_match,eta_ad,eta_internal
3-port,3,928.0,3.1439274301426874,0.75,0.9048374180359596,0.6446966603506211
3-port,3,929.0,3.137162660870109,0.75,0.9048374180359596,0.6446966603506211
3-port,3,930.0,3.1304197016996183,0.75,0.9048374180359596,0.6446966603506211
3-port,3,931.0,3.123698458975427,0.75,0.9048374180359596,0.6446966603506211
3-port,3,932.0,3.1169988395439225,0.75,0.9048374180359596,0.6446966603506211
3-port,3,933.0,3.11032075075044,0.75,0.9048374180359596,0.6446966603506211
3-port,3,934.0,3.1036641004360597,0.75,0.9048374180359596,0.6446966603506211
3-port,3,935.0,3.0970287969344286,0.75,0.9048374180359596,0.6446966603506211
3-port,3,936.0,3.090414749068595,0.75,0.9048374180359596,0.6446966603506211
3-port,3,937.0,3.0838218661478933,0.75,0.9048374180359596,0.6446966603506211
3-port,3,938.0,3.0772500579648217,0.75,0.9048374180359596,0.6446966603506211
3-port,3,939.0,3.0706992347919573,0.75,0.9048374180359596,0.6446966603506211
3-port,3,940.0,3.064169307378905,0.75,0.9048374180359596,0.6446966603506211
3-port,3,941.0,3.0576601869492395,0.75,0.9048374180359596,0.6446966603506211
3-port,3,942.0,3.051171785197506,0.75,0.9048374180359596,0.6446966603506211
3-port,3,943.0,3.0447040142862116,0.75,0.9048374180359596,0.6446966603506211
3-port,3,944.0,3.0382567868428616,0.75,0.9048374180359596,0.6446966603506211
3-port,3,945.0,3.0318300159570004,0.75,0.9048374180359596,0.6446966603506211
3-port,3,946.0,3.025423615177291,0.75,0.9048374180359596,0.6446966603506211
3-port,3,947.0,3.0190374985086006,0.75,0.9048374180359596,0.6446966603506211
3-port,3,948.0,3.0126715804091235,0.75,0.9048374180359596,0.6446966603506211
3-port,3,949.0,3.0063257757875017,0.75,0.9048374180359596,0.6446966603506211
3-port,3,950.0,3.0,1.0,1.0,0.95
3-port,3,951.0,2.9936941688476684,1.0,1.0,0.95
3-port,3,952.0,2.9874081985735472,1.0,1.0,0.95
3-port,3,953.0,2.9811420058598843,1.0,1.0,0.95
3-port,3,954.0,2.9748955078253765,1.0,1.0,0.95
3-port,3,955.0,2.968668622022423,1.0,1.0,0.95
3-port,3,956.0,2.9624612664344108,1.0,1.0,0.95
3-port,3,957.0,2.9562733594730135,1.0,1.0,0.95
3-port,3,958.0,2.9501048199755058,1.0,1.0,0.95
3-port,3,959.0,2.943955567202106,1.0,1.0,0.95
3-port,3,960.0,2.9378255208333335,1.0,1.0,0.95
3-port,3,961.0,2.931714600967385,1.0,1.0,0.95
3-port,3,962.0,2.9256227281175304,1.0,1.0,0.95
3-port,3,963.0,2.9195498232095316,1.0,1.0,0.95
3-port,3,964.0,2.913495807579071,1.0,1.0,0.95
3-port,3,965.0,2.907460602969207,1.0,1.0,0.95
3-port,3,966.0,2.9014441315278474,1.0,1.0,0.95
3-port,3,967.0,2.8954463158052333,1.0,1.0,0.95
3-port,3,968.0,2.8894670787514514,1.0,1.0,0.95
3-port,3,969.0,2.883506343713956,1.0,1.0,0.95
3-port,3,970.0,2.877564034435115,1.0,1.0,0.95
3-port,3,971.0,2.8716400750497697,1.0,1.0,0.95
3-port,3,972.0,2.865734390082813,1.0,1.0,0.95
3-port,3,973.0,2.8598469044467847,1.0,1.0,0.95
3-port,3,974.0,2.853977543439488,1.0,1.0,0.95
3-port,3,975.0,2.8481262327416172,1.0,1.0,0.95
3-port,3,976.0,2.8422928984144047,1.0,1.0,0.95
3-port,3,977.0,2.8364774668972865,1.0,1.0,0.95
3-port,3,978.0,2.8306798650055827,1.0,1.0,0.95
3-port,3,979.0,2.824900019928196,1.0,1.0,0.95
3-port,3,980.0,2.8191378592253225,1.0,1.0,0.95
3-port,3,981.0,2.8133933108261866,1.0,1.0,0.95
3-port,3,982.0,2.807666303026784,1.0,1.0,0.95
3-port,3,983.0,2.8019567644876426,1.0,1.0,0.95
3-port,3,984.0,2.796264624231608,1.0,1.0,0.95
3-port,3,985.0,2.7905898116416292,1.0,1.0,0.95
3-port,3,986.0,2.784932256458574,1.0,1.0,0.95
3-port,3,987.0,2.779291888779052,1.0,1.0,0.95
3-port,3,988.0,2.7736686390532546,1.0,1.0,0.95
3-port,3,989.0,2.768062438082814,1.0,1.0,0.95
3-port,3,990.0,2.7624732170186714,1.0,1.0,0.95
3-port,3,991.0,2.756900907358965,1.0,1.0,0.95
3-port,3,992.0,2.7513454409469302,1.0,1.0,0.95
